window,jd_mean,jd_median,jd__TIME_STAMP,jd__lon,jd__lat,jd__speed,jd__technology,jd__lte_band,jd__lte_serv_rsrp,jd__lte_serv_rsrq,jd__lte_serv_rssi,jd__lte_cqi0,jd__lte_cqi1,jd__nr_band,jd__nr_serv_rsrp,jd__nr_serv_rsrq,jd__nr_serv_sinr,jd__nr_cqi,jd__dl_tput,jd__ul_tput,jd__lte_nbr_rsrp,jd__lte_nbr_rsrq,jd__irat_rsrp,jd__irat_rsrq,jd__nr_nbr_rsrp,jd__nr_nbr_rsrq,jd__lte_ho_category,jd__nr_ho_category
51,11.823823936378343,13.174777634045146,20.185169463100106,22.390001027508966,20.325719905410086,3.1560135586630773,1.945075308559259,0.0,13.50563142156981,3.559154474246292,10.696478243138897,16.286040628459617,10.39047595882517,0.0,15.511890668521696,12.366660032332328,12.84392384652048,12.24182265891909,20.340409418426454,21.817994475311558,17.309758487477293,14.167880936816692,22.102254459319347,1.3234491985491554,18.562673844051695,16.382898069505092,0.0021936389864738014,0.005852621618258938
52,11.173756530891389,10.783838979792616,20.19822119053963,22.390001027508966,21.827310592410644,3.1560135586630773,1.945075308559259,0.0,7.306910664091304,2.883977721982425,5.223832829217212,19.333858985519246,10.964666359893478,0.0,16.001356494180143,9.043800903509446,10.220370933453932,16.277337173863486,18.34172879965334,22.198344105998206,16.477031105817414,15.549101133084294,22.102254459319347,1.3234491985491554,17.14196939706561,10.603011599691754,0.0021936389864738014,0.005852621618258938
53,10.663184927199497,10.765096985851592,20.218841590975817,22.390001027508966,21.827310592410644,3.1560135586630773,1.945075308559259,0.0,8.793408061940436,5.893382185688157,7.295000913457365,13.604683833690057,9.6045622431322,0.0,12.031329602365203,11.925631728570984,8.154388020004387,15.138856119698511,20.580346120762016,18.187520089406004,13.405672732789004,16.185007569255504,22.102254459319347,1.3234491985491554,8.626814615772721,14.8452122740634,0.0021936389864738014,0.005852621618258938
54,11.89636910028966,13.049234197268763,20.26191048838344,18.840844851376055,21.827310592410644,3.1560135586630773,1.945075308559259,0.0,12.180582188158354,8.858703558856188,12.991189883198723,10.91877086741388,14.245493033695695,0.0,13.107278511338803,13.993190579265246,11.28030212891925,11.467023916596915,23.01876224995364,18.503741992656124,14.351751991275382,18.897977668643364,22.102254459319347,1.3234491985491554,19.844375830789257,16.181547488904634,0.0021936389864738014,0.005852621618258938
55,12.262853668457812,14.223840717737646,20.19154328630376,20.09547664642642,21.827310592410644,3.1560135586630773,1.945075308559259,0.0,17.651280113469504,16.646911865823974,11.207056772840103,15.123200773888225,13.135164808690543,0.0,15.352305360419317,10.774958400803994,13.526884596968959,14.12270503522142,20.420946682732907,20.729880090092106,12.769381123656675,17.036350343781873,22.102254459319347,1.3234491985491554,14.324976400253872,15.363023700423295,0.0021936389864738014,0.005852621618258938
56,11.286190252302912,12.621881454851291,20.199437166031128,20.09547664642642,21.827310592410644,3.1560135586630773,1.945075308559259,0.0,16.010233869095185,12.616815033156131,6.312895795703621,9.990599959846652,12.62694787654645,0.0,13.363632098869543,9.344492183744899,12.890984585993497,8.017874044268739,18.708250529363717,22.510497686635592,12.187745061821502,16.62693889697734,22.102254459319347,1.3234491985491554,17.45073718191816,14.04822531340048,0.04070296031461118,0.04435655226064378
57,11.656092175379136,13.873447951990164,20.174236474861143,20.09547664642642,21.827310592410644,4.107808968119643,1.945075308559259,0.0,13.246476895748941,2.867741007654226,8.875147377902637,3.8811961376912687,2.2855433341247697,0.0,21.144423325262526,14.500419008231386,18.004285660982877,18.47205017862649,18.987096890814858,22.007220751901052,18.806621569450733,16.44421910936265,10.24031034715432,1.3234491985491554,20.667237905509605,23.11232959009072,0.0021936389864738014,0.040526641435789094
58,12.345821395953022,13.9108808411771,20.156152415662593,20.09547664642642,21.827310592410644,22.7361340027496,1.945075308559259,0.0,11.077626064695705,3.7185379549921738,8.272194265385615,8.835237983029801,5.5326647404309375,0.0,17.618945166598987,14.802979654324243,14.054910834904812,18.47205017862649,21.506604786868504,25.71372161073174,19.62609235866493,18.088224338582737,12.026598494300295,1.3234491985491554,13.766850847449389,19.786472590229856,0.0021936389864738014,0.005852621618258938
59,11.53009637964385,12.142536375519,20.067360791975407,20.09547664642642,21.827310592410644,2.961533163602838,1.945075308559259,0.0,9.679873731744115,3.2594188424397,6.524624666167304,12.258474256737706,9.22570705239793,0.0,20.676245312901084,11.886643831083585,14.010054244235778,15.834085741306284,18.749641355839472,23.47546285445913,18.248988918890813,19.549259456185094,12.026598494300295,1.3234491985491554,17.484011851624334,18.665163298299024,0.0021936389864738014,0.005852621618258938
60,11.482211667155836,12.095335147335227,20.26205165326641,20.09547664642642,21.827310592410644,3.1560135586630773,1.945075308559259,0.0,12.980683534867467,1.5964186956498536,10.898728229379639,10.8654962124854,6.87644048087992,0.0,21.512033394241275,19.77510397360333,12.164071800370158,11.449555762460596,18.00725617189382,16.373768897055534,15.698518561711992,17.51475886846427,12.026598494300295,1.3234491985491554,20.72773376735534,21.45291328285316,0.0021936389864738014,0.005852621618258938
61,10.976659145607524,11.74223370450117,20.213578437230204,20.09547664642642,20.928552223034497,3.1560135586630773,1.945075308559259,0.0,11.291693367645625,1.0525857659540074,8.744896646464746,17.474669312826183,17.110739055015177,0.0,20.2565094393337,6.461924729911269,13.958822493612448,11.457868914702049,20.79996845240427,11.261705595607415,16.229524741871188,16.783454525743476,12.026598494300295,1.3234491985491554,16.12673305693332,16.685251560403085,0.0021936389864738014,0.005852621618258938
62,11.70536951881944,14.128552588799966,20.130100320144457,20.09547664642642,22.366899658598957,3.4331642950924754,1.945075308559259,0.0,15.642985666889507,1.4386290592488422,11.113765367467549,17.474669312826183,9.092653370119674,0.0,20.282828554658,14.761461962002898,13.954430852659815,14.302674324940119,19.37382684282086,17.357006683048088,18.180580688639655,12.812710681176126,12.026598494300295,1.3234491985491554,20.72773376735534,16.49484017317705,0.0021936389864738014,0.005852621618258938
63,11.8500396017314,14.31809583255594,20.19825810888417,20.09547664642642,22.366899658598957,3.241664326303359,1.945075308559259,0.0,15.599336956515614,1.7584967532457418,9.819964289345476,13.957267562238787,17.110739055015177,0.0,21.452414171447014,14.678924102873092,17.899862843771096,18.858779816681597,21.332163950723025,17.357006683048088,16.81416139090193,12.516882434361053,12.026598494300295,1.3234491985491554,11.683816265567025,16.055745367055348,0.0021936389864738014,0.005852621618258938
64,11.961927955217833,14.326467346505307,20.200892329256508,20.09547664642642,22.366899658598957,3.1560135586630773,1.945075308559259,0.0,14.04436165004532,2.5146653237506564,9.725647152207682,17.474669312826183,17.110739055015177,0.0,21.46038922153414,19.69788959706823,15.990268957232377,14.08552142472368,18.28963133266396,17.357006683048088,17.558287318745695,18.186570027053683,12.026598494300295,1.3234491985491554,11.82461505650347,14.567413268286934,0.0021936389864738014,0.005852621618258938
65,13.421903247672866,15.43209859207945,0.11111661418630289,17.236856880959635,21.28108155737799,22.7361340027496,1.945075308559259,0.0,19.28269416705853,3.405542735895707,10.106380872512885,19.993506637003094,16.661439219741045,0.0,21.50453412918044,14.79142548253488,17.532307947138904,18.858779816681597,20.35447540317471,13.609786287970683,14.83878544694291,14.23191611658458,44.53096179786033,1.3234491985491554,18.599776819011606,16.02541173721599,0.0021936389864738014,0.005852621618258938
66,13.731891343997907,15.982328724366816,0.11111661418630289,17.236856880959635,21.28108155737799,22.7361340027496,1.945075308559259,0.0,14.531041150189898,2.7400647335715735,10.393983425354596,19.71265589900332,14.727800567773999,0.0,23.011876088386504,14.287687399439745,18.141252838284128,18.858779816681597,20.35447540317471,18.503741992656124,18.51984214289257,14.572886408819189,44.53096179786033,1.3234491985491554,18.768190879878578,20.73217457699211,0.0021936389864738014,0.005852621618258938
67,12.94868691360551,14.531357966045661,0.11111661418630289,20.929711377572175,21.738984453650186,3.1560135586630773,1.945075308559259,0.0,13.950356934180153,11.518369309527206,11.998288267328403,17.169655318302507,19.64241087776044,0.0,15.150745026068043,20.630264840859976,10.45559258822587,16.018090855517386,20.35447540317471,22.44224323547529,15.112358997911171,13.684931948301385,44.530961797860336,1.3234491985491554,19.51153958823529,15.2831779932302,0.0021936389864738014,0.005852621618258938
68,13.129991410833494,14.81131881981097,0.11111661418630289,20.929711377572175,21.738984453650186,3.1560135586630773,1.945075308559259,0.0,13.04231389887956,17.970524728778514,11.867927800047292,10.004438082649978,19.64241087776044,0.0,20.08752042770529,12.75266861984185,9.161172892377843,18.92689933490854,18.659125026613207,21.726147109878468,18.810975540924062,18.89243044268289,44.530961797860336,1.3234491985491554,19.51153958823529,16.58032374074238,0.0021936389864738014,0.005852621618258938
69,13.408511015687424,15.000142274449491,0.11111661418630289,20.929711377572175,21.738984453650186,3.1560135586630773,1.945075308559259,0.0,14.592438441165747,19.93007916602788,11.525182164955298,9.884935539696373,19.64241087776044,0.0,19.94334721465022,9.86520183337733,14.959320082156491,18.92689933490854,21.332163950723025,24.853104854445146,15.815619690343649,15.040964466742489,44.530961797860336,1.3234491985491554,19.51153958823529,19.054720633039857,0.0021936389864738014,0.005852621618258938
70,12.102009468189063,13.323971956938369,0.11111661418630289,20.929711377572175,20.3293531092936,3.1560135586630773,1.945075308559259,0.0,12.287311563408277,14.095671398530648,12.552272515346091,6.466651293127128,19.64241087776044,0.0,19.2667539425421,10.2960856130527,15.268277184249904,12.425772879246935,18.864677472994423,17.08289658951745,16.925665710201766,16.431928149171615,44.530961797860336,1.3234491985491554,14.1206947651837,16.59144899329385,0.0021936389864738014,0.005852621618258938
71,12.172900056726958,15.108088953444092,0.11111661418630289,19.586202798689936,22.044959261779077,3.1560135586630773,1.945075308559259,0.0,14.326286849309815,5.072455910513849,7.603102565943113,11.919084384808192,8.004517823629858,0.0,20.263824546696664,21.176191683079914,21.08382015602374,20.67396908441459,17.028622636157163,21.540293221729954,15.889891057578371,19.91611819145801,24.209533995645252,1.3234491985491554,21.652338950192732,17.925813396870648,0.0021936389864738014,0.040526641435789094
