window,stab__Other,ot__Other,stab__Mobility,ot__Mobility,stab__RadioContext,ot__RadioContext,stab__LTE,ot__LTE,stab__NR,ot__NR,stab__Throughput,ot__Throughput,stab__IRAT,ot__IRAT
20,0.998537057389517,0.01595822573789312,0.3690797003939494,1.108725558937056,0.9096761093060532,0.07061918131727188,0.6740357876239946,0.5881406294139264,0.7205792395009313,0.43995090241702195,0.23568642643669144,1.5622387041274335,0.5327817759577156,0.931669343561768
21,0.9985400007602734,0.013030897400035489,0.3718787949841119,1.2011291490514053,0.9096761093060532,0.06877660590044707,0.6556033457066155,0.4314469011371146,0.6391938266212169,0.6402247474309842,0.7274739384038956,0.7565642784285393,0.5327817759577156,0.9260927650673435
22,0.9985341140274369,0.013024537154852746,0.3819468897417316,0.9544466425927437,0.9096761093060532,0.07491459263906115,0.696449286764543,0.5889906041943753,0.7733610294052738,0.6418357161631607,0.3215381675856297,1.2671234494523476,0.5327817759577156,0.8776499317379295
23,0.9985380385121385,0.015269525716682475,0.3955386304128829,1.1048836565587288,0.9096761093060532,0.08545499546714869,0.6495869496620281,0.5768075278348849,0.8757168176731213,0.4295352413765583,0.292308080594494,1.32192841577793,0.5327817759577156,0.7777766067554219
24,0.998537057389517,0.011777893778262858,0.40354588612862957,0.839234624272748,0.9096761093060532,0.08105659233127172,0.6532785760229957,0.5802566229062651,0.8096127330524598,0.4671519281457098,0.3237481381317864,1.32118555303112,0.5327817759577156,0.7737577651450469
25,0.9985390196357239,0.00991580159153567,0.40977422220261484,0.9140528506650725,0.9096761093060532,0.07964418241697702,0.6608019936955147,0.608689135278991,0.8584530255521259,0.41985415071658383,0.34644670684979467,1.5243812028202002,0.5327817759577156,0.9498103975373089
26,0.9985400007602734,0.010221835982629983,0.41172407180799087,1.0966787151227333,0.9096761093060532,0.08189409993509454,0.6522121901122895,0.6212969048916661,0.8576299557353187,0.3356024742036078,0.23023765040584115,1.5208359381445498,0.5327817759577156,0.79951368568391
27,0.998537057389517,0.012023863042417954,0.4144718146037717,0.8197683765436574,0.9096761093060532,0.07458542690106906,0.587587669527855,0.9021682265595647,0.7633712797700125,0.4480923448023261,0.5375134681446377,0.8597374046975543,0.5327817759577156,0.8851937153143901
28,0.9985321517908701,0.013829283213148514,0.42244326770433066,0.9006214061280107,0.9096761093060532,0.09763028389613868,0.5722497357280715,0.5450750300366842,0.8319513876098372,0.3636826243675735,0.7100049964268161,0.5356336920614546,0.5327817759577156,0.8778367628472277
29,0.9985380385121385,0.016439051449478638,0.4363348174238643,0.9360439728710562,0.9096761093060532,0.09156836401192661,0.6312721603377339,0.5973151275812929,0.8467374559281658,0.39034409722447133,0.7594339414549892,0.6118685908397606,0.5327817759577156,0.894254807555088
30,0.9985390196357239,0.010579678256883324,0.4459101006163002,1.1358513721373917,0.9096761093060532,0.068687242476411,0.6450692012492544,0.6716304949519823,0.8726626874586267,0.38505095758050667,0.7044834836763345,0.7455131395714992,0.5327817759577156,0.7931710253271264
31,0.9985331329086715,0.011384289328282293,0.44855117179200854,0.9564886222184674,0.9096761093060532,0.1010748375672004,0.5544894357217639,0.7055193893661595,0.8537204338949484,0.4281151254581525,0.48893327543467413,0.8293795603280063,0.5327817759577156,0.8700961289173479
32,0.9985380385121385,0.012395750649540403,0.4591362925342015,0.8748290615407919,0.9096761093060532,0.07741105409780508,0.619420581215095,0.6411781881964066,0.8690423288125534,0.36814671396578746,0.6371797934845346,0.6654945900485892,0.5327817759577156,0.828828226801433
33,0.9985341140274369,0.011824220872750918,0.4679358428532079,0.9798083262586098,0.9096761093060532,0.07755413362175231,0.6116828295836034,0.5238572706930115,0.8222839776323977,0.524684114977221,0.5836500136212499,0.7824867311932325,0.5327817759577156,0.8981440353626164
34,0.9985331329086715,0.010478773933797484,0.4733260296591839,0.9925272972525301,0.9096761093060532,0.10101958057434413,0.6609808701133955,0.6876054979685219,0.8164949344025165,0.5156119012103586,0.5047350078777625,0.8454734502457516,0.5327817759577156,0.8478021843811729
35,0.9985350951471663,0.011999418656266077,0.4813298793940076,0.7426388343218686,0.9096761093060532,0.09078219429156549,0.6830691305378385,0.5709894102863549,0.7811559367577295,0.5002656046525225,0.4817391827225137,0.887691675218169,0.5327817759577156,0.7927424394732073
36,0.9985331329086715,0.010447056249899785,0.4984486545398602,0.8308879035624117,0.9096761093060532,0.07878446581897182,0.6410058141689436,0.7664338193556782,0.7599114137434669,0.6058807301000222,0.45305439474404074,0.906237727895195,0.5327817759577156,0.7115874203178083
