window,latent_score_mean,latent_score_median,latent_flag_rate
49,8.783251736111662,8.680034214919402,1.0
50,8.652531762262406,8.723930504684413,1.0
51,7.983731429544797,7.98178008599615,1.0
52,8.471356668500526,8.46434229073687,1.0
53,8.662318212825815,8.669178771334469,1.0
54,9.013486391402804,9.006700264182605,1.0
55,6.5556934184144975,6.519039276754988,1.0
56,4.147577173534261,4.088301710949565,1.0
57,3.701128670104937,3.528352622827711,1.0
58,8.4635575852748,8.614323691565964,1.0
59,18.153074093169632,18.149688492170963,1.0
60,18.139447835201146,18.119599322138985,1.0
61,9.240027938490192,9.207443564591351,1.0
62,8.293116706299074,8.283432753566977,1.0
63,9.473392755771393,9.50648367564423,1.0
64,8.098858905449296,8.101686605455008,1.0
65,0.4028015399527829,0.3630209035856177,0.0
66,0.48312690700613337,0.4575234440098026,0.0
67,0.5399623188874835,0.5235634578785796,0.01
68,0.42402712354157707,0.40869863295368264,0.0
69,0.3916829254348231,0.373164694375307,0.01
70,0.45159826662002944,0.42638392248141527,0.0
71,0.538825309204662,0.48286305663372897,0.05
72,0.43517338769853664,0.3966917814482871,0.01
73,0.41552319671560073,0.4060805266416553,0.0
74,0.40568427128436896,0.373817632357956,0.01
75,0.4167436474872918,0.3967998126861879,0.0
76,0.4371119880217805,0.4015325253330948,0.02
77,0.4680951209645827,0.45491564597416556,0.0
78,0.4629943858030068,0.43063092774018175,0.0
79,0.4335930951622703,0.42203233775579857,0.0
80,0.4067744323644618,0.39534779244512486,0.0
81,0.44329849379324804,0.43495084476913914,0.0
82,0.4897140363058833,0.4770696867928914,0.0
83,0.49527070984803395,0.44819701839070725,0.08
84,0.5459064684582253,0.5037016700705421,0.03
85,0.5448531295211576,0.5104231727502677,0.0
86,0.5052935225770737,0.4827239805339858,0.01
87,0.4914973910688388,0.48875319677246676,0.01
88,0.48666627221044756,0.43382734855307803,0.02
89,0.37848394330307167,0.353175492870487,0.0
90,0.45125064470721754,0.4145406231015103,0.02
91,0.4429357381779024,0.4256880229837292,0.02
92,0.46120576051725615,0.4533718849982341,0.0
93,0.4983504497765602,0.48355533216380064,0.0
94,0.4343781364522615,0.414571869659737,0.0
95,0.48740063585877236,0.4466717877417039,0.01
96,0.566594454797406,0.5545818600968062,0.01
97,0.47429048116446154,0.46597146818814206,0.0
98,0.5314403385859955,0.49358086814088054,0.02
99,0.5939308639465817,0.5519610328731761,0.02
100,0.7358474587118815,0.670577232738696,0.1
101,0.7325872974745401,0.6380076185792746,0.19
102,34.637981053615356,34.65510278767729,1.0
103,34.91341739939015,34.91366029534302,1.0
104,34.685652053890706,34.73943261396251,1.0
105,34.58309375324995,34.6256270561402,1.0
106,16.50506936276433,16.493071337678895,1.0
107,34.6208049217399,34.60656074895206,1.0
108,12.622550243096361,12.648381720726146,1.0
109,8.685988518817119,8.7815552938759,1.0
110,12.980655507677278,12.930853494616567,1.0
111,34.908612476966276,34.843177632806466,1.0
112,34.57477189212944,34.58251094400018,1.0
113,9.146062827967624,9.149516541715712,1.0
114,16.724943620698227,16.602820121127344,1.0
115,13.050021031134506,13.072325241447677,1.0
116,13.20305289884833,13.176128590901774,1.0
117,18.417797266061367,18.369320803830668,1.0
118,13.419453350590054,13.325802640294791,1.0
119,8.299599424436018,8.280765144440068,1.0
120,9.233313688919937,9.206546081858505,1.0
121,0.47298200376485006,0.4433029061439083,0.0
122,0.3956709247462278,0.3759930317618698,0.01
123,0.5880326887424122,0.5765870992975146,0.08
124,0.4802519302093107,0.43877201298330615,0.0
125,0.47446357731502203,0.43849481414409064,0.0
126,0.49342476468074153,0.46807576961356756,0.0
127,0.4921081336755052,0.4548039864958857,0.02
128,0.7747566197197502,0.623972731496507,0.14
129,0.5394453825652445,0.5007784791558516,0.02
130,0.4034425185502378,0.40004300863841946,0.0
131,0.38928804898049846,0.367586055187747,0.0
132,0.35508315421894254,0.3483441759773579,0.0
133,0.46385674476784106,0.44278139359591123,0.01
134,0.4704368424900064,0.4488237586784827,0.0
135,0.4169918187523898,0.3833571262713551,0.0
136,0.43481571901530475,0.4085185399082752,0.0
137,0.41831149724521083,0.4067579228889035,0.0
138,0.42130410984875755,0.4118298507087313,0.0
139,0.5636278740701319,0.5156395042113411,0.04
140,0.4882469085299775,0.31667710623934964,0.12
141,0.5851453244183584,0.5288601122771133,0.04
142,0.3863932897699817,0.3666020128760081,0.01
143,0.4016212731716853,0.3640235226034,0.01
144,0.42443957645514446,0.40213006922156325,0.0
145,0.4525661684089058,0.42106856624147104,0.0
146,0.4019496523248106,0.34928209974392677,0.01
147,0.39826148544516227,0.38377610571772663,0.0
148,0.41824636723533765,0.3745173308050781,0.0
149,18.329601954647995,18.309238246655845,1.0
