window,jd_mean,jd_median,jd__TIME_STAMP,jd__lon,jd__lat,jd__speed,jd__technology,jd__lte_band,jd__lte_serv_rsrp,jd__lte_serv_rsrq,jd__lte_serv_rssi,jd__lte_cqi0,jd__lte_cqi1,jd__nr_band,jd__nr_serv_rsrp,jd__nr_serv_rsrq,jd__nr_serv_sinr,jd__nr_cqi,jd__dl_tput,jd__ul_tput,jd__lte_nbr_rsrp,jd__lte_nbr_rsrq,jd__irat_rsrp,jd__irat_rsrq,jd__nr_nbr_rsrp,jd__nr_nbr_rsrq,jd__lte_ho_category,jd__nr_ho_category
79,16.430784178345245,19.766581992632066,0.11111661418630289,20.70646196220799,20.80261017059309,23.900881929988003,1.945075308559259,0.0,18.055739098069115,1.6230707380348377,17.18466806104671,18.826702023056143,18.653407275242976,0.0,23.591329031368286,24.83776119408836,24.180966803234483,23.642396726230473,30.024121767652957,25.787068515550512,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,23.098809883103044,17.925813396870648,0.0021936389864738014,0.005852621618258938
80,18.421261836891272,20.75453606640054,0.11111661418630289,20.70646196220799,20.80261017059309,23.900881929988003,1.945075308559259,0.0,19.787043589938683,2.1100210781273065,17.176938288257254,19.68953833219658,23.47697515918743,0.0,23.591329031368286,24.83776119408836,24.180966803234483,35.828829910453976,43.478235868773396,43.90994056268686,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,23.19088042056192,17.925813396870648,0.0021936389864738014,0.005852621618258938
81,17.187001489449646,20.408968595629233,0.11111661418630289,20.70646196220799,20.80261017059309,23.900881929988003,1.945075308559259,0.0,20.11147522905048,2.5395121273173884,17.0350583546698,20.10985349792435,19.90542269974515,0.0,23.591329031368286,24.83776119408836,24.180966803234483,43.453863112409564,26.612679258984386,23.95018796472666,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,22.83958193187335,17.925813396870648,0.0021936389864738014,0.005852621618258938
82,16.091286508416868,19.33708341869563,0.11111661418630289,20.70646196220799,20.80261017059309,2.7076096000109198,1.945075308559259,0.0,19.45469268279553,2.2883437484475735,16.740015765658782,18.77760401388239,19.21947415459573,0.0,23.591329031368286,24.83776119408836,24.180966803234483,44.14621007797848,25.11908651759978,22.244516962890355,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,21.272373075977306,17.925813396870648,0.0021936389864738014,0.005852621618258938
83,16.09576001235504,19.277385469324482,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,1.945075308559259,0.0,19.700741377445446,3.3544494265648335,15.615753034088423,17.48510814236428,18.854029561203518,0.0,23.591329031368286,24.83776119408836,24.180966803234483,44.14621007797848,25.11908651759978,22.244516962890355,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,22.410329043431226,17.925813396870648,0.0021936389864738014,0.005852621618258938
84,15.594295453160004,18.926705356984765,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,1.945075308559259,0.0,18.748615550814705,2.014200989695363,18.350633374987346,19.104795163154826,19.938478269628433,0.0,23.591329031368286,24.83776119408836,24.180966803234483,33.61105207400795,25.11908651759978,15.833960270697402,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,23.171323393909542,17.925813396870648,0.0021936389864738014,0.005852621618258938
85,15.416485102926108,19.59456229920914,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,1.945075308559259,0.0,21.023997096180338,4.288225697813231,20.351279422540102,18.83784517587818,17.968581872529178,0.0,23.591329031368286,24.83776119408836,24.180966803234483,23.642396726230473,25.11908651759978,16.784569065449826,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,23.25309492419295,17.925813396870648,0.0021936389864738014,0.005852621618258938
86,15.479497271102675,20.528295171830358,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,1.945075308559259,0.0,20.931382711642915,2.914383207069757,20.350128381452723,19.66671580463351,14.56431141473266,0.0,23.591329031368286,24.83776119408836,24.180966803234483,23.18833086411638,25.11908651759978,23.82727437335539,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,22.345779596401695,17.925813396870648,0.0021936389864738014,0.005852621618258938
87,15.48014402738165,18.140206378294167,0.11111661418630289,20.70646196220799,20.80261017059309,3.1560135586630773,1.945075308559259,0.0,18.35459935971769,3.151029957418992,16.074347064051548,21.94050999146244,17.350188149818283,0.0,23.591329031368286,24.83776119408836,24.180966803234483,19.34669330089666,38.20149821910891,17.85619341985989,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,20.649149071923745,17.925813396870648,0.0021936389864738014,0.005852621618258938
88,15.183582344409947,17.927886864966702,0.11111661418630289,20.70646196220799,20.80261017059309,1.727048689155247,1.945075308559259,0.0,13.420169965648723,2.4361966360945164,11.63756066064453,17.165784347569705,19.294251546031347,0.0,23.591329031368286,24.83776119408836,24.180966803234483,17.929960333062752,38.97838474959888,22.50517869657983,22.186158765704135,24.253772115174915,44.53096179786033,1.3234491985491554,23.275082711271466,17.925813396870648,0.0021936389864738014,0.005852621618258938
