window,latent_score_mean,latent_score_median,latent_flag_rate
66,0.5622465788002826,0.5381003363682954,0.0
67,0.6293656284525244,0.6013773606491679,0.05
68,0.4905405728452824,0.4712151721750878,0.01
69,0.4546207350415535,0.4304911106608097,0.01
70,0.5259880611657854,0.4965535670152518,0.01
71,0.6210469135860329,0.5483386924963101,0.06
72,0.5046040825075747,0.4631352530979147,0.01
73,0.47980152187313024,0.47101164459425704,0.0
74,0.4736557008971803,0.4348525602626119,0.01
75,0.48343791656912793,0.4691425071407679,0.0
76,0.5062925985469409,0.4630267837792922,0.03
77,0.5422240603720863,0.5313781957196995,0.0
78,0.5322463900293454,0.49780803542051044,0.0
79,0.5048874954943968,0.49263225920773845,0.01
80,0.4734887644625017,0.4620622442942822,0.0
81,0.5179990753370309,0.5070050887323931,0.0
82,0.5715462873098038,0.556474713713216,0.02
83,0.5793958284294148,0.5166580311326645,0.13
84,0.6371137286664227,0.5859581963356096,0.05
85,0.6321779840351337,0.5991443327305843,0.07
86,0.5912271054736515,0.5572824591733365,0.05
87,0.5797506288096591,0.5722437083209292,0.03
88,0.5665710291932157,0.5124838036673504,0.05
89,0.43928551923149667,0.404972145529656,0.0
90,0.5210057557019848,0.47457270853399525,0.03
91,0.5141481935754613,0.49584803459505633,0.03
92,0.5344438262887088,0.5193098472939875,0.01
93,0.5735127078187324,0.556168922032868,0.02
94,0.503944655157538,0.4809262861482083,0.0
95,0.5659534578394017,0.5173209200765968,0.03
96,0.6563431744903677,0.6330697347956067,0.04
97,0.5492973532034031,0.5442040348417254,0.01
98,0.6157487083104896,0.5706126755815795,0.03
99,0.6851316090113042,0.645328932073868,0.03
100,0.850132530558735,0.776879069727406,0.22
101,0.855671782566226,0.7575043502796057,0.27
102,0.5315361504347421,0.49914126603486975,0.01
103,0.6286199815630977,0.6108312320991653,0.03
104,0.610522483114281,0.6097376084351449,0.06
105,0.6424578798319257,0.5943810351377703,0.02
106,0.6524086954923786,0.6070862111680662,0.04
107,0.5475379615017091,0.5491889601411699,0.01
108,0.5268371047447274,0.5179846217870774,0.02
109,0.6781969672390408,0.6387095113664569,0.07
110,0.6118078428765388,0.5438880460879068,0.1
111,0.7092619629608342,0.6523987562784268,0.14
112,0.6109279121754743,0.5636268022429167,0.04
113,0.585115346508053,0.576759140029178,0.02
114,0.6028457065829133,0.5580927451191069,0.03
115,0.5649161427283073,0.5355091425523517,0.03
116,0.5954022492864945,0.591251152208726,0.04
117,0.6856436515765193,0.6490408940598611,0.09
118,0.46209246278847593,0.4267787392531656,0.0
119,0.48079247186755075,0.4254317434722964,0.03
120,0.493783049236471,0.4744512809834639,0.0
121,0.5460460638096837,0.5117075806089225,0.0
122,0.45998974229680295,0.44132269301667404,0.01
123,0.6821148400909355,0.6736409362223688,0.09
124,0.55427031761976,0.5016929378482528,0.02
125,0.5496501053905282,0.5064690863900396,0.01
126,0.5771162678859467,0.5425753421373322,0.01
127,0.5691716573105348,0.5229394808704118,0.07
128,0.8954518183441904,0.7201773973934049,0.25
129,0.6289389182697471,0.586131594566437,0.06
130,0.4670834637792945,0.46158043295249834,0.0
131,0.448243857402976,0.4240392875126969,0.0
132,0.4096179633400549,0.405375334170619,0.0
133,0.5406833449037838,0.5044703458891573,0.02
134,0.5423209226926522,0.5128143787050855,0.04
135,0.48313146348593966,0.4470119584706985,0.01
136,0.505765548535026,0.4906245239495406,0.01
137,0.48495771206999144,0.4786106285901429,0.01
138,0.48854535864106474,0.4793761313172258,0.0
139,0.6588463153292827,0.6095290383804297,0.05
140,0.5714989068630533,0.3678458478268045,0.15
141,0.680321186190758,0.6215127718479898,0.09
142,0.4489352046602575,0.4243117875897272,0.02
143,0.46530391529335297,0.42584424827660033,0.02
144,0.4975929690666663,0.4716932938304672,0.05
145,0.5258662366652854,0.4880259478210195,0.01
146,0.4699082862586819,0.4218610939363478,0.01
147,0.45904917736884143,0.44270985743861696,0.01
148,0.4845844635488905,0.43525855716224926,0.01
149,0.4992916499225689,0.4750094103826653,0.0
